media_duration,len,sum
0,179,109
1,30,23
2,8,0
3,41,6
4,40,0
5,109,3
6,83,1
7,101,2
8,114,1
9,156,2
10,125,2
11,77,3
12,120,4
13,553,10
14,135,3
15,204,1
16,135,1
17,210,1
18,211,5
19,165,6
20,224,6
21,296,9
22,326,8
23,349,15
24,156,8
25,466,18
26,174,6
27,174,5
28,285,4
29,299,37
30,412,204
31,259,154
32,337,211
33,364,236
34,356,244
35,424,262
36,448,322
37,434,269
38,416,288
39,276,179
40,463,349
41,602,468
42,521,430
43,582,461
44,481,335
45,463,335
46,555,395
47,289,199
48,660,497
49,409,259
50,869,623
51,620,435
52,669,517
53,693,486
54,763,569
55,513,390
56,578,395
57,737,502
58,593,455
59,658,495
60,963,732
61,777,557
62,484,352
63,681,495
64,1201,824
65,714,520
66,842,614
67,888,627
68,694,503
69,443,323
70,451,331
71,553,365
72,763,535
73,677,446
74,782,603
75,1155,893
76,806,607
77,969,769
78,1443,1109
79,816,595
80,1239,969
81,976,763
82,900,690
83,778,552
84,672,479
85,929,667
86,701,469
87,962,637
88,904,650
89,1514,1116
90,1644,1225
91,1298,950
92,1399,1042
93,1457,1104
94,1332,943
95,1796,1311
96,1132,854
97,1280,940
98,1356,999
99,1757,1228
100,1158,842
101,1038,733
102,1422,1062
103,1577,1146
104,1886,1341
105,1889,1331
106,1973,1477
107,1313,927
108,1328,993
109,1238,850
110,2305,1681
111,2157,1605
112,1399,989
113,1513,1144
114,1877,1340
115,1897,1469
116,2011,1504
117,2337,1770
118,2646,1980
119,1601,1203
120,2406,1788
121,3052,2227
122,3623,2698
123,3538,2593
124,3453,2522
125,5945,4274
126,2480,1865
127,3701,2718
128,3484,2659
129,4007,2807
130,3305,2422
131,3095,2261
132,6757,4646
133,6981,4865
134,9888,7096
135,3283,2385
136,4698,3408
137,10935,7837
138,6143,4341
139,4716,3438
140,8576,5874
141,6262,4486
142,6173,4391
143,5766,4115
144,8083,5829
145,7691,5632
146,6926,5037
147,10339,7104
148,10934,7412
149,8475,6128
150,8765,6237
151,10427,7159
152,7883,5796
153,8473,6159
154,13883,9462
155,15211,10888
156,16314,12568
157,14431,10076
158,16203,11270
159,20302,14476
160,24284,16818
161,28968,19264
162,25416,17540
163,22144,15846
164,14011,10175
165,18871,13443
166,30205,20760
167,21012,14773
168,19044,13319
169,17207,12390
170,26650,18071
171,21591,15269
172,26454,18393
173,43738,29546
174,29408,20700
175,40056,28305
176,46885,34348
177,51686,36368
178,30126,21105
179,34365,24304
180,38552,27203
181,33957,23050
182,52505,36455
183,60466,41330
184,46642,31919
185,55261,36683
186,63321,43254
187,47686,33217
188,47570,32708
189,51751,35897
190,80781,55200
191,51353,34819
192,48820,33464
193,48897,33613
194,78656,55242
195,85688,58467
196,64996,43730
197,70315,48738
198,62109,43310
199,62404,42035
200,55751,37380
201,64233,44770
202,56960,39148
203,67783,45273
204,79983,53428
205,87747,59238
206,79535,53996
207,75708,50068
208,61318,41207
209,71599,46929
210,77144,53366
211,72886,49492
212,76471,51677
213,89755,59360
214,85392,56988
215,82154,55195
216,88211,60813
217,75249,50406
218,70973,50008
219,87718,58956
220,63546,43628
221,45860,30984
222,61443,41144
223,61230,41490
224,82832,54829
225,73296,50183
226,73588,48637
227,68519,45449
228,72893,49669
229,52811,35178
230,84749,57128
231,56043,37290
232,57114,37928
233,74400,50545
234,67786,46244
235,68775,46205
236,69017,45623
237,66952,46217
238,55687,38449
239,50826,34670
240,65417,44284
241,46206,31464
242,50832,33421
243,46411,31799
244,71672,48616
245,44022,29891
246,40849,26684
247,59966,39231
248,45225,31108
249,46292,31406
250,45840,30726
251,53238,36253
252,59106,40902
253,41903,27150
254,40160,27695
255,44466,29228
256,34630,24400
257,29195,19871
258,52654,35802
259,29201,20672
260,40822,26679
261,34246,23165
262,36838,24609
263,44485,29212
264,36920,25790
265,32939,22746
266,25500,17968
267,28503,18858
268,54143,36602
269,36324,24776
270,25238,17676
271,35533,24646
272,22790,15920
273,25528,18054
274,19540,13553
275,21414,14337
276,25745,17647
277,25181,17616
278,28408,19867
279,15313,10440
280,20000,13916
281,22005,15659
282,21217,14501
283,17284,12113
284,21930,14855
285,43173,29808
286,24553,17568
287,16682,10830
288,17043,11637
289,23679,15920
290,15773,10724
291,19924,13865
292,18331,12410
293,15548,10567
294,20152,12844
295,17763,12111
296,16599,11601
297,10750,7498
298,12295,8410
299,12492,8432
300,10374,7408
301,10974,7376
302,13842,9331
303,9953,6941
304,10083,7034
305,11454,8122
306,10328,7273
307,11699,8590
308,9153,6169
309,8041,5572
310,8294,5946
311,10594,7639
312,13643,8747
313,12165,8367
314,6204,4468
315,9767,7011
316,9235,6800
317,7022,4769
318,6394,4554
319,8921,6562
320,8056,5548
321,6357,4544
322,10104,6634
323,8865,5861
324,7810,5683
325,7723,5530
326,9023,6047
327,7071,4672
328,4840,3432
329,7720,5458
330,5730,4222
331,5409,3787
332,3351,2408
333,4080,2857
334,9447,6355
335,5715,3980
336,4929,3603
337,5118,3720
338,4138,2903
339,5085,3617
340,5306,3836
341,3424,2406
342,4949,3333
343,4427,3141
344,3115,2209
345,5210,3837
346,3117,2084
347,3807,2655
348,6181,4446
349,2874,2181
350,5061,3472
351,4362,3262
352,11021,8454
353,3063,2196
354,5449,3741
355,2021,1455
356,3726,2641
357,3595,2350
358,4199,2991
359,2620,1939
360,3860,2620
361,2826,1912
362,2459,1684
363,5019,3252
364,3126,2138
365,3419,2339
366,2766,1970
367,5273,3519
368,3279,2253
369,3055,2178
370,2376,1792
371,3198,2240
372,7098,4195
373,3067,2016
374,1911,1316
375,2125,1495
376,1411,1055
377,3455,2527
378,2092,1498
379,3647,2512
380,2957,2139
381,1515,1095
382,1888,1338
383,1986,1432
384,2441,1719
385,2075,1372
386,3393,2164
387,2627,1830
388,3319,2350
389,2908,2037
390,1568,1165
391,2121,1576
392,1903,1310
393,2105,1436
394,2828,1992
395,2317,1634
396,2586,1850
397,1588,1098
398,1806,1327
399,2156,1519
400,3582,2259
401,1814,1346
402,1921,1395
403,2546,1697
404,3852,2567
405,1239,888
406,1631,1158
407,887,672
408,1554,1127
409,1559,1169
410,3508,2455
411,3274,2331
412,1469,1084
413,901,664
414,1061,757
415,1095,739
416,1123,806
417,958,698
418,961,680
419,1833,1382
420,1009,726
421,713,507
422,1101,787
423,991,675
424,1670,1202
425,1366,964
426,1124,874
427,863,628
428,1572,1129
429,1829,1365
430,1363,923
431,887,625
432,1069,797
433,868,614
434,1118,825
435,1055,765
436,645,477
437,915,709
438,1285,950
439,1457,1010
440,959,676
441,606,428
442,700,490
443,730,515
444,955,647
445,1623,1044
446,949,659
447,816,568
448,1495,978
449,674,490
450,1207,867
451,767,535
452,369,248
453,509,378
454,874,630
455,798,583
456,711,471
457,979,628
458,546,409
459,696,504
460,666,514
461,941,670
462,573,418
463,610,407
464,511,412
465,495,340
466,678,474
467,1161,835
468,1334,839
469,1584,976
470,519,396
471,518,375
472,491,355
473,271,187
474,489,336
475,510,383
476,413,312
477,304,201
478,334,238
479,665,479
480,720,544
481,319,233
482,1089,802
483,300,226
484,906,550
485,411,273
486,674,471
487,431,313
488,464,366
489,266,201
490,505,368
491,217,151
492,474,373
493,539,387
494,234,162
495,639,472
496,357,246
497,297,191
498,423,267
499,435,317
500,352,250
501,353,248
502,459,271
503,275,189
504,262,192
505,260,194
506,425,308
507,397,327
508,354,252
509,314,248
510,938,651
511,241,190
512,638,470
513,299,218
514,202,139
515,197,139
516,215,154
517,404,282
518,350,248
519,328,216
520,268,195
521,306,176
522,141,110
523,236,171
524,178,135
525,703,493
526,536,398
527,228,149
528,175,132
529,231,151
530,111,66
531,127,88
532,266,192
533,376,257
534,281,212
535,477,335
536,385,260
537,368,262
538,328,226
539,271,198
540,779,517
541,246,186
542,172,105
543,198,140
544,544,388
545,105,74
546,130,89
547,225,164
548,266,201
549,313,225
550,297,180
551,88,67
552,90,69
553,163,106
554,121,93
555,159,126
556,127,97
557,234,156
558,122,99
559,271,208
560,108,86
561,134,96
562,385,284
563,151,110
564,85,60
565,198,144
566,118,86
567,142,106
568,84,60
569,94,67
570,266,226
571,153,118
572,80,68
573,83,64
574,222,154
575,84,60
576,292,195
577,142,116
578,173,121
579,165,91
580,89,65
581,143,112
582,81,57
583,47,34
584,106,68
585,137,107
586,127,96
587,110,71
588,113,76
589,320,260
590,95,65
591,100,66
592,206,160
593,87,59
594,151,123
595,95,72
596,63,48
597,226,170
598,387,289
599,244,177
600,134,96
601,43,35
602,247,166
603,48,34
604,66,53
605,91,73
606,34,24
607,62,46
608,51,34
609,123,88
610,373,271
611,47,34
612,35,27
613,91,65
614,108,70
615,117,91
616,97,73
617,83,49
618,241,146
619,230,161
620,139,110
621,304,224
622,131,96
623,72,49
624,111,67
625,71,57
626,46,33
627,34,26
628,167,115
629,51,36
630,57,42
631,141,108
632,118,74
633,39,25
634,85,68
635,43,30
636,41,23
637,115,65
638,95,76
639,61,47
640,61,41
641,50,39
642,92,79
643,56,44
644,74,48
645,116,99
646,47,33
647,45,31
648,116,88
649,31,21
650,129,95
651,210,146
652,64,41
653,41,24
654,56,39
655,28,23
656,86,62
657,72,52
658,49,36
659,381,310
660,51,34
661,55,45
662,85,62
663,21,16
664,35,29
665,46,34
666,72,56
667,35,21
668,43,37
669,45,20
670,42,32
671,21,16
672,16,10
673,90,55
674,85,63
675,13,10
676,66,54
677,49,37
678,27,25
679,35,27
680,36,25
681,51,40
682,24,22
683,38,32
684,21,19
685,67,52
686,102,78
687,38,28
688,29,22
689,113,72
690,47,34
691,42,29
692,39,23
693,15,10
694,147,74
695,117,96
696,32,27
697,57,37
698,40,28
699,65,45
700,28,21
701,91,72
702,24,15
703,167,118
704,63,41
705,42,32
706,100,88
707,19,12
708,33,26
709,57,50
710,48,40
711,27,19
712,33,27
713,34,23
714,40,24
715,30,16
716,39,33
717,79,47
718,18,13
719,32,27
720,33,20
721,81,70
722,59,35
723,81,60
724,26,21
725,39,29
726,55,44
727,35,25
728,20,14
729,39,26
730,19,15
731,18,9
732,17,15
733,6,5
734,20,14
735,30,25
736,31,23
737,26,17
738,56,45
739,45,30
740,41,26
741,26,19
742,32,22
743,15,10
744,20,11
745,56,33
746,34,25
747,55,48
748,54,46
749,7,3
750,35,26
751,6,6
752,25,16
753,60,46
754,44,30
755,31,24
756,20,9
757,39,28
758,6,5
759,17,15
760,11,8
761,12,10
762,15,11
763,10,9
764,9,5
765,38,33
766,12,7
767,31,29
768,8,6
769,14,8
770,12,7
771,19,12
772,8,8
773,10,7
774,22,16
775,10,7
776,13,8
777,13,12
778,15,11
779,28,21
780,184,146
781,41,35
782,81,58
783,81,62
784,27,17
785,25,19
786,6,3
787,4,1
788,7,6
789,18,11
790,15,13
791,23,18
792,8,6
793,7,3
794,43,39
795,17,15
796,150,111
797,5,3
798,14,11
799,37,28
800,9,7
801,8,2
802,22,17
803,9,6
804,40,33
805,8,5
806,21,18
807,27,18
808,5,3
809,28,20
810,116,76
811,141,114
812,19,9
813,42,26
814,24,15
815,11,9
816,28,25
817,21,15
818,27,24
819,7,5
820,43,27
821,19,14
822,58,37
823,31,27
824,138,92
825,8,7
826,9,7
827,63,46
828,49,27
829,11,7
830,8,7
831,7,6
832,7,3
833,3,3
834,27,20
835,6,4
836,17,13
837,21,14
838,10,6
839,12,9
840,5,5
841,3,2
842,10,9
843,10,5
844,8,7
845,3,2
846,4,4
847,5,3
848,29,18
849,48,34
850,65,53
851,5,3
852,26,25
853,3,3
854,8,7
855,6,4
856,7,4
857,26,20
858,32,25
859,17,11
860,25,16
861,28,21
862,12,9
863,7,5
864,5,5
865,16,12
866,10,8
867,12,8
868,3,2
869,15,13
870,16,11
871,26,25
872,1,1
873,4,2
874,21,17
875,29,27
876,4,3
877,8,6
878,2,0
879,8,6
880,5,4
881,14,9
882,7,5
883,12,9
884,7,5
885,9,7
886,5,4
887,11,8
888,27,16
889,10,6
890,13,11
891,10,6
892,5,4
894,20,14
895,22,16
896,9,9
897,8,5
898,19,17
899,22,18
900,11,9
901,73,53
902,8,4
903,4,4
904,7,4
905,21,13
906,1,1
907,5,3
908,18,15
909,14,12
910,33,14
911,3,1
912,14,11
913,32,19
914,10,5
916,22,19
917,3,1
918,8,8
919,9,6
920,9,9
921,29,20
922,41,28
923,5,4
924,22,19
925,1,1
926,7,2
927,5,2
928,3,1
929,22,15
930,6,4
931,17,14
932,5,4
933,26,14
934,6,5
935,6,3
936,30,26
937,1,1
938,10,4
939,3,2
940,18,13
941,81,61
942,3,2
943,8,7
944,2,1
945,5,5
946,17,16
947,21,19
948,9,8
949,4,3
950,16,13
951,15,9
952,1,0
953,2,1
954,12,8
955,34,29
956,2,1
957,11,8
958,6,1
959,4,3
960,4,1
961,3,2
962,21,16
963,6,5
964,18,14
965,1,0
966,11,5
967,15,10
968,6,5
970,3,2
971,5,5
972,3,2
973,4,3
974,8,6
975,88,64
976,9,6
978,57,25
979,5,5
980,144,100
981,3,1
982,1,0
983,2,0
984,4,4
985,2,1
986,2,2
987,19,10
988,13,7
990,51,41
991,2,2
992,1,1
993,8,5
994,10,5
995,10,7
996,17,11
997,2,1
998,5,3
999,6,3
1000,2,1
1001,10,9
1002,9,7
1003,1,0
1004,3,3
1005,13,5
1006,4,2
1007,5,5
1008,6,6
1009,63,25
1011,5,2
1012,74,54
1013,10,6
1014,1,0
1015,4,2
1016,2,1
1017,4,3
1018,1,1
1019,8,6
1020,9,8
1021,3,3
1022,3,1
1023,6,6
1024,16,15
1025,20,10
1026,1,1
1027,11,6
1028,2,1
1029,6,3
1030,1,0
1032,13,10
1033,6,4
1034,1,1
1035,9,7
1036,11,9
1037,3,1
1039,3,3
1040,2,2
1041,16,12
1042,5,4
1044,1,0
1045,1,0
1046,3,3
1047,1,1
1048,4,4
1049,1,1
1050,3,2
1051,7,7
1052,26,22
1053,3,3
1054,2,2
1055,2,1
1057,15,11
1058,3,2
1059,5,3
1060,3,2
1061,10,5
1062,10,9
1063,1,1
1064,4,0
1066,2,1
1068,19,17
1069,1,1
1070,10,10
1071,4,1
1073,1,1
1074,1,1
1076,1,0
1077,9,5
1078,1,0
1080,13,10
1081,5,4
1082,1,1
1083,9,7
1084,1,1
1085,1,1
1086,3,1
1087,2,1
1088,3,1
1090,2,0
1091,1,0
1092,10,7
1093,1,0
1094,3,2
1095,5,4
1096,5,4
1097,1,1
1098,1,0
1099,3,1
1100,9,8
1101,1,1
1102,4,3
1103,1,1
1104,2,2
1105,7,4
1106,4,3
1107,5,3
1108,28,18
1110,1,1
1111,11,7
1112,3,3
1113,4,3
1114,7,7
1116,5,4
1117,1,1
1118,1,1
1119,5,4
1120,2,1
1121,1,1
1122,3,3
1123,2,1
1124,10,8
1125,1,1
1126,6,4
1128,27,18
1129,3,1
1130,2,2
1131,1,1
1132,5,4
1133,4,4
1134,1,1
1135,1,0
1136,2,1
1137,9,5
1138,4,1
1139,13,8
1140,4,2
1141,7,3
1142,3,2
1143,4,0
1144,11,8
1145,23,18
1146,1,1
1147,4,3
1149,1,1
1150,3,0
1151,1,1
1152,2,1
1153,13,12
1154,4,4
1155,2,1
1156,1,0
1157,6,5
1158,6,6
1159,5,5
1160,4,4
1161,4,4
1162,3,2
1163,5,5
1164,5,5
1165,2,0
1166,17,12
1167,9,8
1168,2,1
1169,1,1
1171,2,1
1172,2,1
1174,1,1
1176,2,1
1177,3,3
1178,1,1
1179,10,10
1180,4,4
1181,1,1
1185,2,1
1187,16,12
1188,2,0
1189,2,2
1190,1,1
1191,16,14
1192,1,0
1195,30,17
1196,1,1
1197,5,3
1199,1,1
1201,1,1
1202,4,4
1205,1,1
1206,3,2
1208,2,1
1209,1,1
1210,1,1
1212,1,1
1213,3,2
1214,1,1
1216,5,3
1218,1,1
1220,1,0
1221,20,15
1222,1,1
1225,5,3
1226,2,2
1227,13,9
1228,1,1
1231,3,2
1233,2,1
1238,2,0
1241,5,4
1242,6,5
1243,1,1
1245,1,1
1249,1,1
1252,4,2
1254,3,3
1255,1,1
1256,6,6
1257,1,0
1258,3,2
1259,1,1
1261,10,5
1262,4,3
1263,3,2
1265,1,1
1268,4,3
1269,3,3
1272,4,2
1275,3,2
1276,4,3
1277,2,2
1279,5,3
1280,4,4
1281,1,0
1282,19,17
1283,5,2
1284,2,0
1286,5,5
1288,2,2
1289,4,3
1292,13,9
1293,4,3
1294,1,1
1298,1,1
1299,2,1
1300,5,5
1302,3,3
1303,1,1
1304,2,2
1306,3,1
1309,4,3
1310,2,2
1311,2,2
1312,3,3
1314,2,0
1317,1,0
1318,5,5
1319,1,1
1322,2,2
1323,1,1
1324,2,1
1328,52,35
1329,6,6
1331,1,1
1332,1,1
1333,1,1
1335,1,1
1338,1,1
1340,1,0
1342,1,1
1343,4,2
1346,2,2
1350,2,0
1351,3,3
1352,5,5
1354,1,1
1355,1,1
1356,1,0
1358,8,8
1362,2,2
1366,2,2
1367,8,7
1368,1,1
1369,3,0
1371,2,1
1372,1,1
1373,4,4
1376,1,0
1377,10,6
1379,1,1
1380,2,2
1384,1,0
1385,4,3
1386,1,0
1387,8,5
1388,2,2
1389,2,2
1391,1,1
1392,4,1
1393,4,3
1394,15,8
1396,2,1
1398,2,2
1400,1,1
1401,6,5
1402,17,10
1403,3,1
1404,1,0
1411,2,0
1412,3,2
1414,1,1
1416,2,2
1421,13,8
1422,1,1
1423,10,4
1424,10,6
1425,3,1
1427,3,2
1430,2,2
1432,1,1
1433,1,1
1435,1,1
1437,1,1
1440,5,1
1441,8,5
1443,2,0
1446,2,1
1449,4,3
1456,10,9
1458,41,28
1460,1,1
1465,1,1
1468,1,1
1477,2,2
1478,1,0
1483,6,5
1484,1,0
1485,2,2
1486,6,3
1488,5,4
1498,4,0
1503,5,3
1512,1,1
1515,6,4
1517,1,0
1520,1,0
1521,1,0
1524,1,1
1525,2,2
1528,3,2
1529,1,0
1531,1,0
1533,2,0
1534,7,6
1535,2,0
1536,2,2
1538,8,5
1541,3,3
1545,8,6
1547,1,1
1548,1,1
1549,3,1
1550,10,9
1555,1,0
1561,5,4
1562,1,1
1565,1,0
1570,1,0
1575,1,0
1579,1,1
1587,2,2
1588,2,0
1592,5,2
1594,2,1
1597,1,1
1598,2,2
1607,1,1
1614,1,1
1617,1,1
1620,1,1
1621,3,3
1630,3,3
1636,1,0
1641,1,1
1644,1,1
1646,1,1
1647,1,0
1652,1,1
1655,13,9
1658,1,1
1660,2,1
1663,4,4
1667,1,1
1670,2,2
1672,1,0
1684,1,1
1693,1,1
1694,4,4
1699,6,5
1705,1,0
1707,1,1
1712,2,1
1714,1,1
1717,45,35
1726,2,2
1728,1,1
1730,3,2
1731,3,3
1736,1,1
1737,1,1
1738,1,1
1741,1,1
1742,1,1
1743,1,1
1744,1,1
1746,2,2
1749,1,0
1751,2,1
1752,1,0
1753,4,2
1756,11,7
1758,1,0
1770,1,1
1784,1,1
1786,3,2
1787,1,0
1792,5,3
1796,2,1
1797,7,5
1799,8,4
1800,12,11
1802,3,1
1811,2,2
1816,1,1
1817,1,0
1818,1,1
1821,4,3
1822,1,1
1824,1,1
1827,1,0
1832,2,1
1833,2,2
1837,1,1
1838,1,1
1842,1,1
1844,1,1
1845,2,2
1846,1,0
1852,6,4
1858,1,0
1864,1,1
1867,1,1
1880,4,3
1886,4,2
1889,1,1
1892,1,1
1893,2,0
1903,1,1
1906,1,0
1917,1,0
1922,1,1
1929,1,1
1943,1,1
1965,2,0
1971,2,1
1973,6,3
1976,1,0
1979,1,1
1996,1,1
2012,1,1
2028,1,1
2043,1,1
2045,1,1
2052,1,0
2058,1,1
2117,1,1
2120,2,0
2132,5,3
2171,3,3
2172,1,1
2174,1,1
2193,1,1
2210,1,1
2222,1,1
2223,1,0
2229,1,1
2238,1,1
2266,1,1
2302,1,1
2307,1,0
2312,2,1
2317,4,2
2318,1,1
2328,1,1
2364,4,0
2390,2,1
2402,1,1
2407,9,6
2408,1,0
2423,1,0
2425,2,1
2442,1,1
2471,2,0
2476,5,5
2482,1,1
2485,1,1
2514,6,5
2518,1,0
2521,2,1
2525,1,1
2534,1,1
2548,5,4
2560,1,1
2584,1,0
2586,1,0
2617,19,6
2621,3,2
2628,5,5
2637,1,0
2646,2,2
2649,4,3
2690,1,1
2693,1,0
2708,12,11
2712,3,3
2724,1,0
2731,3,3
2739,1,1
2742,18,15
2761,2,1
2775,1,1
2805,6,5
2807,9,3
2822,1,0
2849,1,1
2858,4,2
2881,3,2
2905,1,1
2931,1,1
2938,35,20
2946,1,1
2983,5,5
3000,1,1
3009,18,12
3014,1,1
3050,1,1
3053,9,3
3057,3,2
3061,1,1
3087,1,1
3116,1,0
3148,6,4
3215,3,1
3221,1,1
3250,142,121
3272,8,7
3287,1,1
3366,3,2
3369,5,4
3377,1,0
3392,1,0
3393,4,3
3413,4,1
3435,1,0
3453,3,2
3458,2,2
3459,1,0
3519,1,1
3531,1,0
3537,3,2
3540,11,3
3551,2,2
3555,2,1
3567,1,0
3591,1,1
3600,8,6
3601,1,1
3602,5,2
3609,11,8
3612,3,3
3615,1,1
3616,11,7
3617,2,2
3618,1,1
3626,4,1
3652,2,2
3675,2,2
3706,19,15
3719,1,0
3721,1,1
3752,1,0
3756,2,0
3784,9,3
3796,2,0
3803,1,0
3807,1,0
3810,2,2
3843,3,3
3860,9,6
3867,1,1
3876,11,7
3883,2,1
3919,1,1
3958,1,0
3992,1,1
3995,1,1
4085,2,2
4088,1,0
4126,6,2
4142,2,2
4162,1,0
4223,6,3
4281,1,1
4312,6,4
4320,1,0
4338,1,1
4341,3,2
4343,1,1
4408,17,7
4429,1,0
4432,1,0
4450,1,1
4459,1,1
4479,2,2
4496,3,0
4518,1,1
4524,1,1
4530,1,1
4532,1,1
4534,3,1
4556,3,3
4577,1,0
4613,4,1
4615,1,1
4625,11,7
4653,1,1
4657,1,0
4665,1,0
4669,2,2
4679,3,1
4680,1,0
4689,1,0
4705,1,1
4715,1,0
4725,1,1
4743,5,3
4765,4,4
4770,1,1
4789,1,1
4790,1,1
4792,2,2
4793,1,0
4797,1,1
4830,5,2
5135,2,1
5169,1,1
5279,1,1
5280,5,4
5463,1,1
5626,22,20
6477,4,4
6564,1,0
6725,2,2
6730,2,2
7054,6,5
7575,8,6
8216,3,3
9158,1,1
65535,2,2
